*WATER BALANCE OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS    SWTD    FWTD    SNTD   IRRD   PRED   DRND   ROFD   FROD   ESAD   EPAD   EFAD    WBAL   CUMWBAL       TOTS   TOTU   TOTX
 2003 132    76  303.65    0.00    0.00   0.00   0.30   0.00   0.00   0.00   0.33   3.83   0.00    0.11      3.95       0.30   0.00  -3.95
 2003 133    77  299.42    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.32   3.95   0.00   -0.04      3.91       0.00   0.00  -3.91
 2003 134    78  297.23    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.02   3.91   0.00   -1.73      2.18       0.00   0.00  -2.18
 2003 135    79  296.66    0.00    0.00   0.00   1.50   0.00   0.00   0.00   0.01   2.18   0.00   -0.12      2.06       1.50   0.00  -2.06
 2003 136    80  293.79    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.91   2.06   0.00   -0.10      1.96       0.00   0.00  -1.96
 2003 137    81  291.27    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.58   1.96   0.00   -0.02      1.94       0.00   0.00  -1.94
 2003 138    82  296.70    0.00    0.00   0.00   7.40   0.00   0.00   0.00   0.00   1.94   0.00    0.03      1.97       7.40   0.00  -1.97
 2003 139    83  293.23    0.00    0.00   0.00   0.30   0.00   0.00   0.00   1.34   1.97   0.00    0.47      2.43       0.30   0.00  -2.43
 2003 140    84  289.86    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.20   2.43   0.00   -0.27      2.17       0.00   0.00  -2.17
 2003 141    85  287.92    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.71   2.17   0.00   -0.94      1.23       0.00   0.00  -1.23
 2003 142    86  302.06    0.00    0.00   0.00  14.70   0.00   0.00   0.00   0.01   1.23   0.00   -0.67      0.56      14.70   0.00  -0.56
 2003 143    87  298.87    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.07   0.56   0.00    1.55      2.12       0.00   0.00  -2.12
 2003 144    88  292.73    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.98   2.12   0.00    2.05      4.17       0.00   0.00  -4.17
 2003 145    89  288.68    0.00    0.00   0.00   0.00   0.00   0.00   0.00   1.91   4.17   0.00   -2.03      2.13       0.00   0.00  -2.13
 2003 146    90  286.40    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.71   2.13   0.00   -0.56      1.58       0.00   0.00  -1.58
 2003 147    91  285.32    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.03   1.58   0.00   -0.53      1.05       0.00   0.00  -1.05
 2003 148    92  284.36    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.01   1.05   0.00   -0.10      0.95       0.00   0.00  -0.95
