*GROWTH ASPECTS OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 2003 098    42    41    8.7      1   0.00      4      0      0      2      5      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.19   0.00   0.00      0      0    115.7   0.00   0.00   0.41   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 099    43    42    8.8      1   0.01      4      0      0      2      5      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.25   0.00   0.00      0      0    122.6   0.00   0.00   0.42   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 100    44    43    8.8      1   0.01      4      0      0      2      5      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.22   0.00   0.00      0      0    123.6   0.00   0.00   0.42   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 101    45    44    9.0      1   0.01      5      0      0      2      5      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.58   0.00   0.00      0      0    138.2   0.00   0.00   0.42   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 102    46    45    9.2      1   0.01      6      0      0      3      7      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.82   0.00   0.00      0      0    165.7   0.00   0.00   0.43   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 103    47    46    9.4      1   0.02      8      0      0      3      9      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.89   0.00   0.00      0      0    189.5   0.00   0.00   0.45   0.25   0.06   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 104    48    47    9.7      1   0.02     12      0      0      3     12      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.96   0.00   0.00      0      0    209.6   0.00   0.00   0.46   0.26   0.07   0.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 105    49    48   10.0      1   0.04     16      0      0      4     17      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.96   0.00   0.00      0      0    224.6   0.00   0.00   0.47   0.27   0.07   0.02   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 106    50    49   10.3      1   0.05     22      0      0      5     23      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.90   0.00   0.00      0      0    235.3   0.00   0.00   0.48   0.28   0.08   0.02   0.01   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 107    51    50   10.6      2   0.07     30      1      0      7     31      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.86   0.00   0.00      0      0    223.3   0.00   0.00   0.49   0.30   0.09   0.03   0.01   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 108    52    51   10.9      2   0.09     40      2      0      8     42      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.83   0.00   0.00      0      0    214.9   0.00   0.00   0.49   0.32   0.10   0.03   0.01   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       0
 2003 109    53    52   11.2      2   0.10     50      3      0     10     53      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.61   0.00   0.00      0      0    209.5   0.00   0.00   0.50   0.35   0.12   0.04   0.01   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
 2003 110    54    53   11.5      2   0.13     66      5      0     13     71      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.70   0.00   0.00      0      0    204.5   0.00   0.00   0.51   0.38   0.14   0.05   0.01   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       1
