*WEATHER MODULE DAILY OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2003 148    92    0.0   13.9   14.9   29.7   59.4   0.08   27.4   14.1   20.8   23.3   14.1   20.8   23.3   28.2    330
 2003 149    93    0.0   13.9   14.9   27.0   54.0   0.17   29.3   15.3   22.4   25.0   15.3   22.4   25.0   28.2    330
 2003 150    94    0.0   13.9   14.9   28.3   56.6   0.13   28.8   13.9   21.4   24.2   13.9   21.4   24.2   28.2    330
 2003 151    95    0.0   13.9   14.9   27.2   54.4   0.16   32.1   18.3   25.3   27.8   18.3   25.3   27.8   28.2    330
 2003 152    96    0.0   13.9   15.0   27.3   54.6   0.16   29.6   17.5   23.6   25.9   17.5   23.6   25.9   28.2    330
 2003 153    97    0.0   13.9   15.0   28.0   56.0   0.14   31.4   16.2   23.9   26.7   16.2   23.9   26.7   28.2    330
 2003 154    98   18.8   13.9   15.0    7.3   14.6   0.78   25.6   19.8   22.7   23.8   19.8   22.7   23.8   28.2    330
 2003 155    99    0.0   13.9   15.0   20.9   41.8   0.36   30.8   20.5   25.7   27.6   20.5   25.7   27.6   28.2    330
 2003 156   100    0.0   14.0   15.0   26.8   53.6   0.18   30.7   20.5   25.7   27.6   20.5   25.7   27.6   28.2    330
 2003 157   101   24.9   14.0   15.0   10.5   21.0   0.68   29.1   21.4   25.3   26.7   21.4   25.3   26.7   28.2    330
 2003 158   102   30.2   14.0   15.0   13.5   27.0   0.59   28.9   21.6   25.3   26.7   21.6   25.3   26.7   28.2    330
 2003 159   103    0.0   14.0   15.1   20.0   40.0   0.39   30.9   22.5   26.8   28.3   22.5   26.8   28.3   28.2    330
