*SOIL NITROGEN DAILY OUTPUT FILE

*RUN   1        : RAINFED LOW NITROGEN    
 MODEL          : SGCER    - Grain sorghum   
 EXPERIMENT     : GATI0301 SG    NIT X IRR, GA_TIFTON 2N*3I                     
 TREATMENT  1   : RAINFED LOW NITROGEN    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 2003 105    49    62     2     1.9   68.3       1   66.5    1.7  69.4   6.9   4.4   2.6   1.1   0.8   0.6   0.7   0.7   0.0   0.5   0.0   0.0   0.0   0.0  0.03  0.02  0.18  0.18  0.00    0.09   36.01    0.13    0.42    0.44
 2003 106    50    62     2     1.9   67.9       1   66.5    1.4  69.5   6.7   4.3   2.7   1.2   0.8   0.6   0.7   0.7   0.0   0.1   0.0   0.0   0.0   0.0  0.02  0.02  0.18  0.18  0.00    0.09   36.28    0.14    0.42    0.48
 2003 107    51    62     2     2.0   67.6       1   66.2    1.4  69.0   6.5   4.2   2.7   1.2   0.9   0.6   0.7   0.7   0.0   0.0   0.0   0.0   0.0   0.0  0.02  0.01  0.18  0.17  0.00    0.10   36.31    0.15    0.42    0.52
 2003 108    52    62     2     2.0   67.1       1   65.8    1.4  68.4   6.4   4.1   2.7   1.3   0.9   0.6   0.7   0.7   0.0   0.0   0.0   0.0   0.0   0.0  0.02  0.01  0.18  0.17  0.00    0.12   36.34    0.15    0.42    0.52
 2003 109    53    62     2     2.0   66.6       1   65.3    1.3  67.8   6.3   4.0   2.7   1.3   0.9   0.6   0.7   0.7   0.0   0.0   0.0   0.0   0.0   0.0  0.02  0.01  0.17  0.17  0.00    0.16   36.38    0.16    0.42    0.52
 2003 110    54    62     2     2.0   66.2       1   64.8    1.3  67.3   6.2   4.0   2.7   1.3   0.9   0.6   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.02  0.01  0.17  0.17  0.00    0.19   36.42    0.16    0.42    0.52
 2003 111    55    62     2     2.0   65.3       1   64.0    1.3  66.2   6.0   3.9   2.7   1.3   0.9   0.6   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.02  0.01  0.17  0.16  0.00    0.23   36.46    0.16    0.42    0.52
 2003 112    56    62     2     2.0   65.2       1   63.9    1.3  66.2   5.9   3.9   2.7   1.3   0.9   0.6   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.02  0.01  0.17  0.16  0.00    0.28   36.51    0.16    0.42    0.52
 2003 113    57    62     2     2.0   64.0       1   62.7    1.3  65.0   5.6   3.8   2.7   1.3   0.9   0.6   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.02  0.01  0.16  0.16  0.00    0.32   36.56    0.16    0.42    0.52
 2003 114    58    62     2     2.0   63.2       1   61.9    1.3  64.3   5.4   3.7   2.7   1.3   0.9   0.6   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.01  0.16  0.16  0.00    0.36   36.61    0.16    0.42    0.52
 2003 115    59    62     2     2.0   62.4       1   61.2    1.3  10.4  27.1   8.2   2.9   1.3   0.9   0.6   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.01  0.16  0.15  0.00    0.39   36.66    0.16    0.42    0.53
 2003 116    60    62     2     2.0   62.5       1   61.2    1.3   9.1  25.5  10.1   3.3   1.4   0.9   0.6   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.01  0.16  0.15  0.00    0.44   36.71    0.17    0.42    0.53
 2003 117    61    62     2     2.1   60.5       1   59.2    1.3   8.2  22.4  10.4   4.4   1.7   1.1   0.6   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.01  0.15  0.15  0.00    0.49   36.77    0.17    0.42    0.53
 2003 118    62    62     2     2.2   59.3       1   58.0    1.3   8.0  20.7  10.5   4.9   1.9   1.1   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.01  0.15  0.15  0.00    0.55   36.83    0.17    0.42    0.54
 2003 119    63    62     2     2.2   57.6       1   56.3    1.3   7.7  19.1  10.3   5.2   2.0   1.2   0.7   0.7   0.7   0.0   0.0   0.1   0.0   0.0   0.0  0.01  0.01  0.15  0.15  0.00    0.62   36.90    0.17    0.42    0.55
