MG 	-1	-1	-1	-1	-1	-1
MG 	-1	-1	-1	-1	-1	-1
MG 	-1	-1	-1	-1	-1	-1
MO	33.3	29.2	46.4	44.2	20.4	26.7
MO 	-1	-1	-1	-1	-1	-1
MO 	33.3	29.2	46.4	44.2	20.4	26.7
MO 	-1	-1	-1	-1	-1	-1
N	57.9	46.6	13.3	12	28.9	41.4
ND	38.9	31.9	17.6	13.8	43.6	54.4
ND 	85.1	78.2	7.3	8.5	7.7	13.3
ND 	-1	-1	-1	-1	-1	-1
ND 	15.8	13	22.7	15.8	61.6	71.3
NE	68.4	57.8	10.5	10	21.2	32.2
NE 	81.8	72.7	5.9	6.2	12.3	21.1
NE 	57.1	46.9	18.1	15.6	24.8	37.3
NE 	22.8	13.1	21.2	15.9	55.9	70.7
NH	6.4	5.4	29.8	21.5	63.9	73.3
NH 	-1	-1	-1	-1	-1	-1
NH 	-1	-1	-1	-1	-1	-1
NH 	6.4	6.3	29.8	24.6	63.9	69.2
O	-1	-1	-1	-1	-1	-1
OD	-1	-1	-1	-1	-1	-1
OD 	-1	-1	-1	-1	-1	-1
OD 	-1	-1	-1	-1	-1	-1
OD 	-1	-1	-1	-1	-1	-1
OE	-1	-1	-1	-1	-1	-1
OE 	-1	-1	-1	-1	-1	-1
OE 	-1	-1	-1	-1	-1	-1
OE 	-1	-1	-1	-1	-1	-1
OX	-1	-1	-1	-1	-1	-1
OX 	-1	-1	-1	-1	-1	-1
OX 	-1	-1	-1	-1	-1	-1
OX 	-1	-1	-1	-1	-1	-1
P	69.5	72	23.9	22.2	6.7	7
PF	64.9	66.9	26.3	23	8.5	10
PF 	94	94.4	3.3	3.6	2	2
PF 	35.7	39.4	49.3	42.4	15	17.9
PF 	-1	-1	-1	-1	-1	-1
PG	87.3	79.9	9.6	15.5	3.2	8.5
PG 	87.3	79.9	12.3	15.5	3.2	8.5
PG 	-1	-1	-1	-1	-1	-1
PG 	-1	-1	-1	-1	-1	-1
PH	80.8	84.8	16.5	13.7	2.8	1.6
PH 	96	93.9	3	4.9	1.1	1.3
PH 	50.4	66.5	43.4	31.4	6.3	2.2
PH 	-1	-1	-1	-1	-1	-1
PH	80.8	84.8	16.5	13.7	2.8	1.6
PH 	96	93.9	3	4.9	1.1	1.3
PH 	50.4	66.5	43.4	31.4	6.3	2.2
PH 	-1	-1	-1	-1	-1	-1
PL	51.3	51.3	40.1	41	8.7	7.7
PL 	-1	-1	-1	-1	-1	-1
PL 	51.3	51.3	40.1	41	8.7	7.7
PL 	-1	-1	-1	-1	-1	-1
